binomial,CYTB,COI,ND1,ND2,12S,16S,FGB,MUSK,ODC,RAG1,TGFB2,ZENK
Accipiter cooperii,AY987308.1,AY666504.1,,AY987130.1,,KM042918.1,AY987211.1,,,,,AF490154.1
Accipiter gentilis ,EU583321.1,AY666498.1,KP857864.1,EU583260.1,KF781309.1,,DQ881938.1,,DQ881709.1,DQ881796.1,KP857808.1,
Accipiter striatus,U83305.1,HM033205.1,KM875999.1,KX083645.1,,KM042935.1,,,,,KP857790.1,
Actitis macularius,AY894231.1,EU525288.1,AY894282.1,AY894180.1,DQ674579.1,DQ674617.1,AY695182.1,,,KC969114.1,,AF490161.1
Aechmophorus occidentalis,AY567919.1,AY666403.1,,,DQ674555.1,AF339361.1,,,,,,
Aegolius acadicus ,EU075412.1,AY666500.1,,EU601051.1,U83759.1,,,,,EU348863.1,EU600970.1,
Aeronautes saxatalis,EU166978.1,DQ433288.1,EU166921.1,EU166921.1,EU167032.1,,,,GU166927.1,,,AF492508.1
Agapornis roseicollis,AF001330.1,,,EU327596.1,EU197071.1,EU197104.1,GQ395348.1,,GQ395349.1,GQ395351.1,GQ395362.1,GQ395352.1
Aix sponsa,EU585605.1,AY666569.1,,EU585668.1,HM063543.1,,,,,,,
Alectoris chukar,FJ432715.1,KT180226.1,,EU845743.1,KC749447.1,KC984280.1,DQ306960.1,,,,FR694121.2,JQ713749.1
Anas carolinensis,AF059063.1,DQ434275.1,,HM640789.1,HM063477.1,,JX137879.1,,,,,
Anas crecca,EU585607.1,JF499086.1,,AF059124.1,AY164519.1,KC984271.1,KF589200.1,,KF589090.1,,,
Anas penelope,EU914158.1,JN703208.1,,HM776964.1,AY164518.1,KC984270.1,KJ824406.1,,,,,
Anas platyrhynchos,KX534428.1,DQ434287.1,L22479.1,KX534726.1,L22477.1,L22479.1,KF858820.1,EU739751.1 ,EU580305.1,HQ902532.1,EU737316.1,EU738887.1
Anhinga anhinga,U83154.1,DQ432729.1,,KM066464.1,AY941811.1,,DQ881941.1,EU739761.1,DQ881713.1,KT954396.1,EU737328.1,EU738898.1
Anser caerulescens,X75772.1,AY666341.1,,,,,JQ255529.1,,,,,
Anser indicus,EU585619.1,GU571246.1,,EU585682.1,AY164532.1,,,,,,,
Anthus rubescens,KP671525.1,GQ481362.1,,MF320015.1,,,,,KP671587.1,,,
Antigone canadensis,EU166997.1,AY666489.1,EU166954.1,EU166954.1,DQ485815.1,DQ485853.1,AY082410.1,EU739817.1,,AF143732.1,EU737387.1,EU738957.1
Apaloderma vittatum,U89200.1,,,EU603914.1,U89234.1,,AY600474.1,,,AY625251.1,HQ379943.1,
Apteryx australis,KX578602.1,U76057.1,,,U76043.1,U76036.1,DQ882004.1,EU739743.1,DQ881794.1,KT954350.1,EU737307.1,
Apus apus,AY294470.1,MF579507.1,AF543532.1,MF595054.1,JQ520043.1,,AY513096.1,,DQ881714.1,AF294664.1,,
Aquila chrysaetos,AY987294.1,GU571265.1,,AY987116.1,AB219549.1,,AY987203.1,,,EF078712.1,,
Aquila nipalensis,AY987287.1,KU748112.1,,AY987108.1,GU390886.1,,AY987199.1,,,EU345540.1,,
Ara chloropterus,AF346367.1,AB570309.1,,,EU197065.1,EF635430.1,,,,,,
Aramides cajaneus,KC614066.1,KM896241.1,,,U77157.1,KC613983.1,KC613864.1,,,KC613917.1,,
Archilochus alexandri,,DQ433323.1,,KX855337.1,,,EU042365.1,KX855570.1,KX855510.1,,,
Archilochus colubris,AY724766.1,AY666419.1,,KX855341.1,KC858412.1,,AY830616.1,KX855574.1,KX855516.1,,,AF492500.1
Ardea alba,AF193822.1,JF499092.1,,GU346989.1,AF407134.1,JQ910200.1,JQ910181.1,,,,,
Ardea herodias,AF193821.1,AY666320.1,,KX534735.1,,,AY695234.1,EU739765.1,,,KX534606.1,AF490152.1
Ardenna grisea,DQ105793.1,JQ176048.1,,KJ455615.1,U88024.1,,,EU739868.1,KJ455903.1,KJ456129.1,EU737444.1,EU739014.1
Asio flammeus,U89171.1,KM377628.1,,,U89228.1,,DQ881944.1,,DQ881718.1,AF294657.1,,
Asio otus ,EU348964.1,KT803639.1,AY274069.1,EU601055.1,AY274022.1,AY274069.1,,,,EU348876.1,KX534614.1,
Athene cunicularia,KJ456202.1,DQ433340.1,,KJ455332.1,,,,,KJ455725.1,KJ455980.1,,
Aythya affinis,EU585621.1,DQ434303.1,,EU585684.1,,,AY082412.1,,,,,
Aythya marila,EU585625.1,DQ434327.1,,EU585688.1,,,AY082413.1,,,,,
Balaeniceps rex,KX534436.1,JX683924.1,,KX534737.1,JX683975.1,AF173569.1,JX683940.1,EU739768.1,DQ881719.1,KT954395.1,KX534608.1,
Balearica regulorum,U27543.1,KX012827.1,,,DQ485801.1,DQ485839.1,AY695251.1,,EF552712.1,,,AF490157.1
Brachyramphus marmoratus,U37291.1,EU525329.1,,EF380340.1,EF380306.1,EF380285.1,,,,,,
Branta canadensis,EU585629.1,GU571760.1,,EU585692.1,AF173715.1,,,,,,,
Bubo scandiacus,AB741545.1,GU571287.1,,,U83750.1,,,,,,,
Bubo virginianus ,AY509652.1,EU525335.1,,EU601050.1,U83757.1,AF173593.1,,,,EU348893.1,EU600969.1,
Buteo jamaicensis,GQ264784.1,DQ434504.1,AY274074.1,AY987156.1,GQ264619.1,KM042932.1,AY695173.1,EU739752.1,,EF078718.1,KP857791.1,EU738888.1
Buteo lagopus ,GQ264787.1,AY666502.1,,GQ264873.1,AY447957.1,GQ264622.1,,DQ101255.1,,,,
Buteo platypterus,GQ264797.1,AY666398.1,,GQ264883.1,GQ264632.1,GQ264632.1,EU583232.1,,,,,
Buteo swainsoni,EU583345.1,DQ433391.1,,EU583284.1,GQ264646.1,GQ264646.1,EU583238.1,DQ101257.1,,,,
Caiman crocodilus,GU331895.1,HM490390.1,,JF315700.1,EU621799.1,EU621804.1,,,,AY239166.1,,
